,0
V14,0.18690343538234808
V4,0.12570315832299575
V10,0.11077004564562727
V12,0.10555198222309883
V17,0.09135038925125792
V11,0.0704597340274762
V3,0.04493978992220962
V16,0.04033658472695251
V7,0.02796909755668782
V2,0.025322371371427916
V9,0.014802376207483819
V21,0.014399999159087826
V18,0.012852041426291132
V19,0.011327448436088431
V5,0.010650834325454763
Amount,0.009815688839900293
V6,0.009749272662534182
V1,0.009375917255846933
V20,0.008790916645923446
V8,0.0077803545850747636
V27,0.007705637988034145
V13,0.007544203432849121
V26,0.00735671269240022
V15,0.006744777257239106
V28,0.0066422615986613705
V25,0.005728351188185579
V22,0.005413202536626609
V23,0.0052436456309642035
Time,0.004966058289395376
V24,0.003803711411876852
